# 5 Deg. Wedge (Power (W), Thrust (N), Iterations), Rotor Radius Normalized (Tip LC, Aura LC, Aura Distance, Far LC, Far Distance)
(5.06, 0.460, 316),   (0.04, 0.16, 0.5, 1.0, 10, 1e-4)
(4.97, 0.468, 1221),  (0.02, 0.16, 0.5, 1.0, 10, 1e-4)
(4.99, 0.469, 1277),  (0.02, 0.08, 0.5, 1.0, 10, 1e-4)
(4.99, 0.470, 1309),  (0.02, 0.16, 1.0, 1.0, 10, 1e-4)
(4.97, 0.468, 2000+), (0.02, 0.16, 0.5, 0.5, 10, 1e-4)
(4.95, 0.461, 1223),  (0.02, 0.16, 0.5, 1.0, 20, 1e-4)
(4.97, 0.468, 1362),  (0.02, 0.08, 1.0, 1.0, 20, 1e-4)
(5.13, 0.453, 345),   (0.01, 0.16, 0.5, 1.0, 20, 1e-4)
(5.11, 0.461, 479),   (0.01, 0.04, 0.5, 1.0, 20, 1e-4)
(4.97, 0.477, 2000+), (0.01, 0.16, 0.5, 1.0, 20, 1e-5)
(5.06, 0.48, 309),    (0.005, 0.16, 0.5, 1.0, 20, 1e-4)


